,product_name,energy-kcal_100g
650,Горошек зелёный консервированный,55.869
651,Горошек зелёный стручковый,56.388
652,Горчица,173.026
653,Горчица 365 дней Русская,93.2
654,Горчица белая (английская),279.419
655,Горчица дижонская,180.303
656,Горчица Махеевъ столовая Русская,185.721
657,Горчица русская (сарептская),185.42
658,Горчица чёрная (французская),279.419
659,Горчичный порошок,388.889
660,Горячий шоколад Fit Parad,235.595
661,Готовый завтрак Nestle Kosmostars звездочки и галактики медовые,388.39
662,Гранадилла,35.779
663,Гранат,60.68
664,Гранатовый сок,60.68
665,Грейпфрут,31.378
666,Грейпфрутовый нектар,43.46
667,Грейпфрутовый сок,32.198
668,Гремолата,50.046
669,Гренки пшеничные,399.72
670,Гренки пшеничные кубики салатные,351.298
671,Гренки ржаные с чесноком,245.685
672,Грецкий орех,696.728
673,Гречка зелёная для проращивания,297.048
674,Гречневая каша Nestle безмолочная,386.62
675,Гречневая каша Nestle безмолочная с черносливом,386.62
676,Гречневая каша Nestle молочная,420.9
677,Гречневая каша Nestle молочная с курагой,420.9
678,Гречневая каша вязкая на воде,90.662
679,Гречневая каша из крупы ядрица,103.746
680,Гречневая каша Малютка безмолочная,384.653
681,Гречневая каша Малютка молочная с черносливом,442.786
682,Гречневая каша на молоке,127.147
683,Гречневая каша с маслом,142.317
684,Гречневая каша ФрутоНяня безмолочная с яблоком,64.37
685,Гречневая кашка Heinz грушка абрикос смородинка молочная,388.561
686,Гречневая кашка Heinz низкоаллергенная без молока,357.214
687,Гречневая кашка ФрутоНяня молочная жидкая с яблоком,65.211
688,Гречневая крупа (продел),330.507
689,Гречневая крупа (ядрица),336.927
690,Гречневая крупа (ядрица) зелёная,303.608
691,Гречневая крупа Агро-Альянс Элитная,359.97
692,Гречневая крупа Мистраль ядрица,352.917
693,Гречневая крупа Пассим Алтайская,354.614
694,Гречневая манка Гарнец безглютеновая,361.475
695,Гречневые хлопья,333.896
696,Гречневые хлопья Myllyn Paras,345.843
697,Гречневые хлопья Myllyn Paras для каши,345.843
698,Гречневые хлопья Агро-Альянс,367.08
699,Гречневые хлопья Алтайская сказка,355.076
700,Гречневые хлопья Мистраль,314.927
701,Гречневые хлопья Пассим,330.097
702,Грибное ассорти 4 сезона,73.551
703,Грибное ассорти быстрозамороженное,19.322
704,Грибное ризотто Бондюэль в томатном соусе,84.102
705,Грибной жульен Hortex,25.965
706,Гриссини,248.44
707,Грог,0.0
708,Грузди маринованные Steinhauer,20.822
709,Грузди свежие,15.305
710,Групер (мероу),113.757
711,Груша,49.117
712,Груша консервированная,64.78
713,Грушевый компот,75.44
714,Грушевый нектар,37.419
715,Грушевый сок,49.527
716,Груши сушёные,271.664
717,Гуава,56.44
718,Гуава земляничная,79.374
719,Гуавовый сок,58.329
720,Гуарана,27.06
721,Гулявник лекарственный,21.73
722,Гусиная печень,424.63
723,Густера,84.206
724,Гусь,424.63
725,Гусь вареный,461.878
726,Гусь жареный,640.142
727,Гюнику татаки,104.514
728,Гютан терияки,311.935
729,Дайкон,21.73
730,Даниссимо Белый персик - белый шоколад,150.559
731,Даниссимо Вишня,141.186
732,Даниссимо Груша-ваниль,139.546
733,Даниссимо Клубника,139.546
734,Даниссимо Крем-брюле,138.674
735,Даниссимо Лесные ягоды,139.956
736,Даниссимо Малина-земляника,135.036
737,Даниссимо Пахлава,131.429
738,Даниссимо Пинаколада,134.107
739,Даниссимо Пломбир,115.304
740,Даниссимо с хрустящими шариками,155.557
741,Даниссимо с хрустящими шариками Ванильный,155.557
742,Даниссимо Черника,137.086
743,Даниссимо Шоколад,152.059
